Prop ID,Prop Name,Prop City,Live Date,RM,PM,Total Inventory,Avali,Inv Status,Head,MTD - FH Occ,Jan-2026 Ach ADR,STLM ADR,Feb-2026 MTD ADR,LM Vs CM ADR MTD,STLM,Feb-2026 MTD Rev,LM Vs CM MTD,Jan-2026 Ach Rev,Monthly Target,Monthly RR,Achievement,Target delta,Grid Status,MTD CTF,Bucket,CM Pricing Forms Count,L30D Pricing Forms Count,Days Since Last Pricing Form,MM,City Tag,Set,CAT
1014217,FabHotel Golden Leaf Hinjewadi LEC,Pune,28-Oct-2025,Simpi,Keshav Gauba,16,0,Churned,Arun Biyani,0.00%,#DIV/0!,#DIV/0!,#DIV/0!,-,0,0,-,0,0,0,-,0,No Grid,,0-10%,#N/A,,,Hinjewadi,Metro,PostSet,Category B
1025510,FabHotel Jalan,Kolkata,28-Oct-2025,Akhlesh,Keshav Gauba,12,12,Live,Arun Biyani,0.00%,1104.6,1145.2,#DIV/0!,-,0.06,0,-100.0% ▼,0.23,0.41,0,0.00%,-0.41,No Grid,,0-10%,0,1,13,Beleghata,Metro,PostSet,Category C
1038703,FabHotel Nitya Executive,Pune,29-Oct-2025,Simpi,Keshav Gauba,24,0,Churned,Arun Biyani,0.00%,#DIV/0!,#DIV/0!,#DIV/0!,-,0,0,-,0,0,0,-,0,No Grid,,0-10%,#N/A,,,Handewadi,Metro,PostSet,Category B
1039578,FabHotel The Whistler,Bhopal,28-Oct-2025,Harsh Gupta,Keshav Gauba,10,0,Churned,Arun Biyani,0.00%,1098.5,1098.5,#DIV/0!,-,0.02,0,-100.0% ▼,0.02,0,0,-,0,Live,,0-10%,#N/A,,,Kolar Road,Business,PostSet,Category C
1040709,FabHotel Lotus Inn Pimpri Chinchwad,Pune,28-Oct-2025,Simpi,Keshav Gauba,10,10,Live,Arun Biyani,0.00%,2769.5,2764,#DIV/0!,-,0.03,0,-100.0% ▼,1.3,0.81,0,0.00%,-0.81,No Grid,,0-10%,1,3,8,Pimpri Chinchwad,Metro,PostSet,Category B
1040794,FabHotel GSL,Jaipur,28-Oct-2025,Mayank,Keshav Gauba,14,0,Churned,Arun Biyani,0.00%,#DIV/0!,#DIV/0!,#DIV/0!,-,0,0,-,0,0,0,-,0,Live,,0-10%,#N/A,,,Vaishali Nagar,Leisure,PostSet,Category C
1040801,FabHotel Vedansh,Indore,29-Oct-2025,Harsh Gupta,Keshav Gauba,8,8,Live,Arun Biyani,0.00%,921,921,#DIV/0!,-,0.01,0,-100.0% ▼,0.01,0.49,0,0.00%,-0.49,PRICE_DECREASE_10_PERCENT_3PM,,0-10%,0,1,14,Mahalaxmi Nagar,Business,PostSet,Category C
1044049,FabHotel Stay In,Vadodara,28-Oct-2025,Simpi,Keshav Gauba,10,10,Live,Arun Biyani,0.00%,1754,1746.8,1558,-10.8% ▼,0.07,0.55,680.4% ▲,0.53,0.22,1.53,694.02%,1.31,PRICE_DECREASE_10_PERCENT_3PM,,0-10%,1,2,2,Vadodara Central Mall,Business,PostSet,Category C
1044053,FabHotel CSRX,Ghaziabad,28-Oct-2025,Sanskar,Keshav Gauba,15,0,Churned,Arun Biyani,0.00%,#DIV/0!,#DIV/0!,#DIV/0!,-,0,0,-,0,0,0,-,0,Live,,0-10%,#N/A,,,Hindon Airport,Business,PostSet,Category C
1044055,FabHotel Sky Residency,New Delhi,28-Oct-2025,Aditya,Keshav Gauba,10,0,Churned,Arun Biyani,0.00%,914,914,#DIV/0!,-,0.01,0,-100.0% ▼,0.01,0,0,-,0,Live,,0-10%,#N/A,,,Uttam Nagar,Metro,PostSet,Category C
